sub_material,target_count,download_count,target_met,download_path
e cigarettes (vapes),94,31,FALSE,geelong-recycling-instructions/images/dropoff/e cigarettes (vapes)
blenders,75,32,FALSE,geelong-recycling-instructions/images/dropoff/blenders
bread makers,75,24,FALSE,geelong-recycling-instructions/images/dropoff/bread makers
suitcases and luggage,75,25,FALSE,geelong-recycling-instructions/images/dropoff/suitcases and luggage
cd players,75,36,FALSE,geelong-recycling-instructions/images/dropoff/cd players
coffee machines,75,35,FALSE,geelong-recycling-instructions/images/dropoff/coffee machines
electric fans,75,50,FALSE,geelong-recycling-instructions/images/dropoff/electric fans
hairdryers,75,46,FALSE,geelong-recycling-instructions/images/dropoff/hairdryers
hand food mixers,75,27,FALSE,geelong-recycling-instructions/images/dropoff/hand food mixers
photographic film negatives,56,45,FALSE,geelong-recycling-instructions/images/dropoff/photographic film negatives
dvd players,56,48,FALSE,geelong-recycling-instructions/images/dropoff/dvd players
wetsuits,56,44,FALSE,geelong-recycling-instructions/images/dropoff/wetsuits
x-rays,56,47,FALSE,geelong-recycling-instructions/images/dropoff/x-rays
ovens,56,49,FALSE,geelong-recycling-instructions/images/dropoff/ovens
stoves,56,36,FALSE,geelong-recycling-instructions/images/dropoff/stoves
large household appliances,56,51,FALSE,geelong-recycling-instructions/images/dropoff/large household appliances
washing machines,56,31,FALSE,geelong-recycling-instructions/images/dropoff/washing machines
outdoor furniture - plastic,56,55,FALSE,geelong-recycling-instructions/images/dropoff/outdoor furniture - plastic
outdoor furniture - metal,56,56,TRUE,geelong-recycling-instructions/images/dropoff/outdoor furniture - metal
toasters,37,35,FALSE,geelong-recycling-instructions/images/dropoff/toasters
electric heaters,37,35,FALSE,geelong-recycling-instructions/images/dropoff/electric heaters
wardrobes,37,37,TRUE,geelong-recycling-instructions/images/dropoff/wardrobes
cassette players,37,35,FALSE,geelong-recycling-instructions/images/dropoff/cassette players
sideboards,37,37,TRUE,geelong-recycling-instructions/images/dropoff/sideboards
"pens, highlighters, markers",37,36,FALSE,"geelong-recycling-instructions/images/dropoff/pens, highlighters, markers"
desk phones,37,37,TRUE,geelong-recycling-instructions/images/dropoff/desk phones
dishwashers,37,37,TRUE,geelong-recycling-instructions/images/dropoff/dishwashers
nursery and baby furniture,37,37,TRUE,geelong-recycling-instructions/images/dropoff/nursery and baby furniture
electric (power) tools,37,37,TRUE,geelong-recycling-instructions/images/dropoff/electric (power) tools
liquid paper and correction tape,37,37,TRUE,geelong-recycling-instructions/images/dropoff/liquid paper and correction tape
dressers,37,37,TRUE,geelong-recycling-instructions/images/dropoff/dressers
"couches, sofas and lounge suites",37,34,FALSE,"geelong-recycling-instructions/images/dropoff/couches, sofas and lounge suites"
food processors,37,24,FALSE,geelong-recycling-instructions/images/dropoff/food processors
vhs video players,37,22,FALSE,geelong-recycling-instructions/images/dropoff/vhs video players
freezers,37,37,TRUE,geelong-recycling-instructions/images/dropoff/freezers
fridges,37,37,TRUE,geelong-recycling-instructions/images/dropoff/fridges
gaming consoles,37,37,TRUE,geelong-recycling-instructions/images/dropoff/gaming consoles
chairs,37,37,TRUE,geelong-recycling-instructions/images/dropoff/chairs
cabinets,37,22,FALSE,geelong-recycling-instructions/images/dropoff/cabinets
bedside tables,37,37,TRUE,geelong-recycling-instructions/images/dropoff/bedside tables
kettles,37,36,FALSE,geelong-recycling-instructions/images/dropoff/kettles
amplifiers,37,37,TRUE,geelong-recycling-instructions/images/dropoff/amplifiers
laundry irons,37,37,TRUE,geelong-recycling-instructions/images/dropoff/laundry irons
lawn mowers,37,37,TRUE,geelong-recycling-instructions/images/dropoff/lawn mowers
microwave ovens,37,35,FALSE,geelong-recycling-instructions/images/dropoff/microwave ovens
rice cookers,37,37,TRUE,geelong-recycling-instructions/images/dropoff/rice cookers
slow cookers,37,0,FALSE,geelong-recycling-instructions/images/dropoff/slow cookers
batteries,37,37,TRUE,geelong-recycling-instructions/images/dropoff/batteries
clothes dryers,37,37,TRUE,geelong-recycling-instructions/images/dropoff/clothes dryers
electric razors,37,35,FALSE,geelong-recycling-instructions/images/dropoff/electric razors
bbq bottles,37,37,TRUE,geelong-recycling-instructions/images/dropoff/bbq bottles
emergency position indicating radio beacon (epirb),37,37,TRUE,geelong-recycling-instructions/images/dropoff/emergency position indicating radio beacon (epirb)
mobile phones,37,37,TRUE,geelong-recycling-instructions/images/dropoff/mobile phones
"thermometer, mercury",37,37,TRUE,"geelong-recycling-instructions/images/dropoff/thermometer, mercury"
fluorescent tubes and cfl globes,37,37,TRUE,geelong-recycling-instructions/images/dropoff/fluorescent tubes and cfl globes
energy saving lights,37,37,TRUE,geelong-recycling-instructions/images/dropoff/energy saving lights
plastic washing or laundry baskets,19,19,TRUE,geelong-recycling-instructions/images/dropoff/plastic washing or laundry baskets
tinsel,19,18,FALSE,geelong-recycling-instructions/images/dropoff/tinsel
fireworks and firecrackers,19,19,TRUE,geelong-recycling-instructions/images/dropoff/fireworks and firecrackers
saucepans,19,19,TRUE,geelong-recycling-instructions/images/dropoff/saucepans
cooking oil,19,19,TRUE,geelong-recycling-instructions/images/dropoff/cooking oil
scrap metal,19,19,TRUE,geelong-recycling-instructions/images/dropoff/scrap metal
cat beds and igloos,19,19,TRUE,geelong-recycling-instructions/images/dropoff/cat beds and igloos
tyre rims,19,19,TRUE,geelong-recycling-instructions/images/dropoff/tyre rims
medicines,19,19,TRUE,geelong-recycling-instructions/images/dropoff/medicines
wire,19,19,TRUE,geelong-recycling-instructions/images/dropoff/wire
wire coat hangers,19,19,TRUE,geelong-recycling-instructions/images/dropoff/wire coat hangers
car tyres,19,19,TRUE,geelong-recycling-instructions/images/dropoff/car tyres
insulation batts,19,19,TRUE,geelong-recycling-instructions/images/dropoff/insulation batts
"pet food - dog, cat",19,18,FALSE,"geelong-recycling-instructions/images/dropoff/pet food - dog, cat"
oil heaters,19,19,TRUE,geelong-recycling-instructions/images/dropoff/oil heaters
bricks,19,18,FALSE,geelong-recycling-instructions/images/dropoff/bricks
metal pots and pans,19,19,TRUE,geelong-recycling-instructions/images/dropoff/metal pots and pans
pet toys,19,19,TRUE,geelong-recycling-instructions/images/dropoff/pet toys
pink batts,19,19,TRUE,geelong-recycling-instructions/images/dropoff/pink batts
printer cartridges,19,19,TRUE,geelong-recycling-instructions/images/dropoff/printer cartridges
rapid antigen tests (rats),19,19,TRUE,geelong-recycling-instructions/images/dropoff/rapid antigen tests (rats)
metal cutlery,19,19,TRUE,geelong-recycling-instructions/images/dropoff/metal cutlery
hot water service,19,19,TRUE,geelong-recycling-instructions/images/dropoff/hot water service
rocks - small,19,19,TRUE,geelong-recycling-instructions/images/dropoff/rocks - small
sharps (syringes and needles),19,19,TRUE,geelong-recycling-instructions/images/dropoff/sharps (syringes and needles)
frypan,19,19,TRUE,geelong-recycling-instructions/images/dropoff/frypan
building rubble,19,19,TRUE,geelong-recycling-instructions/images/dropoff/building rubble
blister packs,19,19,TRUE,geelong-recycling-instructions/images/dropoff/blister packs
plastic toys,19,19,TRUE,geelong-recycling-instructions/images/dropoff/plastic toys
blankets,19,19,TRUE,geelong-recycling-instructions/images/dropoff/blankets
polystyrene,19,19,TRUE,geelong-recycling-instructions/images/dropoff/polystyrene
polystyrene packaging,19,19,TRUE,geelong-recycling-instructions/images/dropoff/polystyrene packaging
