sub_material,target_count,download_count,target_met,download_path
branches,455.0,45,False,geelong-recycling-instructions/images/green/branches
flowers,455.0,31,False,geelong-recycling-instructions/images/green/flowers
garden prunings,455.0,46,False,geelong-recycling-instructions/images/green/garden prunings
grass clippings,455.0,51,False,geelong-recycling-instructions/images/green/grass clippings
leaves,455.0,39,False,geelong-recycling-instructions/images/green/leaves
noxious weeds,455.0,37,False,geelong-recycling-instructions/images/green/noxious weeds
sawdust,455.0,47,False,geelong-recycling-instructions/images/green/sawdust
small logs,455.0,56,False,geelong-recycling-instructions/images/green/small logs
weeds,455.0,42,False,geelong-recycling-instructions/images/green/weeds
potting mix and soil,455.0,44,False,geelong-recycling-instructions/images/green/potting mix and soil
cellophane,455.0,83,False,geelong-recycling-instructions/images/green/cellophane
