material,sub_material,bin,instructions
Aluminium,aluminium foil trays,yellow,"Clean, dry and empty aluminium foil trays can be placed into the yellow recycling bin. There are plenty of long-lasting and reusable alternatives you can use when oven baking, including tempered glass and cast iron roasting pans."
Aluminium,aerosol cans,yellow,"Empty aerosol cans can be placed in the recycling bin. Empty aerosol cans are one of the easiest of all the steel cans to recycle. However on average only 35 per cent are being recycled.  Aerosol cans that still contain product can be recycled through the annualDetox Your Home event, which is offered by Sustainability Victoria. To get advance warning of the next local event, subscribe to the Rethink Your Rubbish e-news."
Aluminium,aluminium cans,yellow,Aluminium cans can be placed in yourrecycling bin. Excess aluminium cans (up to 0.5 cubic metres) can be dropped off at Drysdale or Geelong Resource Recovery Centres for free.
Aluminium,aluminium foil,yellow,Aluminium foil that is clean and free of contaminants can be scrunched into a ball and placed in the yellow recyclingbin.
Aluminium,deodorant cans,yellow,Empty deodorant cans can be placed in your yellow lid recycling bin.
Aluminium,food cans,yellow,Food cans  can be placed in your yellow lid recycling bin. Just a quick rinse first is sufficient.
Batteries,batteries,dropoff,"Household batteries are classified as e-waste and cannot be placed in any kerbside collection bins. Most batteries contain hazardous materials that can pollute the environment when disposed of in landfills or when thrown out elsewhere. They also cause fires in rubbish collection trucks. There are many locations you can safely dispose of your batteries in Geelong, see below for more information. Batteries can be dropped off for free at theDrysdaleorGeelongResource Recovery Centres. Alternatively:  ALDI,IGAandWoolworthsstores accept household batteries. Bunningsstores accept household batteries, as well as larger batteries from power tools. Any of our Customer Services Centresorthe Lara Library."
Batteries,car batteries,dropoff,"Drop off car  batteries for free at the Geelong Resource Recovery Centre in Douro St North Geelong. Lead-acid (car, bike and boat) batteries contain substances that are both toxic to the environment and commercially valuable. They can be recovered and recycled into new products. Find out what you can drop off for free at the Geelong Resource Recovery centre."
Batteries,e cigarettes (vapes),dropoff,"E cigarettes (vapes) must not be placed in any of your kerbside bins. If the battery can be removed safely it can be taken to one of many local battery drop off points. Hold onto vapes that cannot have the battery removed, or vapes that have had it removed, and check back on this page soon for updates on what to do with them.  Despite being a relatively new product, vapes are now one of the leading causes of truck, tip and recycling fires in Australia. Vapes are classified as e waste and cannot be placed in any kerbside recycling bin in Victoria. You can receive email updates on how to safely dispose of vapes, as well as other recycling tips by subscribing to Rethink Your Rubbish."
Batteries,electric razors,dropoff,"  Drop-off your used electric razor and charger for free at one of our resource recovery centres.  Neverthrow unwantedused electric razors into your red, yellow or green bin for collection.  Electric razors contain hazardous materials that can ignite in landfill and cause environmental contamination."
