sub_material,target_count,download_count,target_met,download_path
binders,100.0,57,False,geelong-recycling-instructions/images/red/binders
long life containers,100.0,45,False,geelong-recycling-instructions/images/red/long life containers
milk carton,100.0,45,False,geelong-recycling-instructions/images/red/milk carton
dry pet food bags,100.0,54,False,geelong-recycling-instructions/images/red/dry pet food bags
padded envelope bags,100.0,61,False,geelong-recycling-instructions/images/red/padded envelope bags
light globes,100.0,44,False,geelong-recycling-instructions/images/red/light globes
juice carton,100.0,47,False,geelong-recycling-instructions/images/red/juice carton
cat and dog food pouches,100.0,47,False,geelong-recycling-instructions/images/red/cat and dog food pouches
prima drink cartons,100.0,52,False,geelong-recycling-instructions/images/red/prima drink cartons
christmas decorations,100.0,27,False,geelong-recycling-instructions/images/red/christmas decorations
tetra pak,100.0,48,False,geelong-recycling-instructions/images/red/tetra pak
plastic clothes pegs,50.0,49,False,geelong-recycling-instructions/images/red/plastic clothes pegs
plastic document sleeves,50.0,45,False,geelong-recycling-instructions/images/red/plastic document sleeves
plastic cutlery,50.0,50,True,geelong-recycling-instructions/images/red/plastic cutlery
plastic code number 7 other,50.0,50,True,geelong-recycling-instructions/images/red/plastic code number 7 other
plastic code number 6 ps,50.0,50,True,geelong-recycling-instructions/images/red/plastic code number 6 ps
magazine and newspaper wrapping (plastic),50.0,43,False,geelong-recycling-instructions/images/red/magazine and newspaper wrapping (plastic)
plastic bags,50.0,50,True,geelong-recycling-instructions/images/red/plastic bags
plastic australia post satchels,50.0,46,False,geelong-recycling-instructions/images/red/plastic australia post satchels
photographs,50.0,39,False,geelong-recycling-instructions/images/red/photographs
polystyrene cup,50.0,50,True,geelong-recycling-instructions/images/red/polystyrene cup
inflatable plastic items,50.0,50,True,geelong-recycling-instructions/images/red/inflatable plastic items
garden hose,50.0,48,False,geelong-recycling-instructions/images/red/garden hose
fruit and vegetable net bag,50.0,50,True,geelong-recycling-instructions/images/red/fruit and vegetable net bag
frozen food bags,50.0,50,True,geelong-recycling-instructions/images/red/frozen food bags
freezer bags,50.0,48,False,geelong-recycling-instructions/images/red/freezer bags
plastic food wrapping,50.0,41,False,geelong-recycling-instructions/images/red/plastic food wrapping
pvc pipe,50.0,50,True,geelong-recycling-instructions/images/red/pvc pipe
polystyrene meat trays,50.0,50,True,geelong-recycling-instructions/images/red/polystyrene meat trays
nappies,50.0,50,True,geelong-recycling-instructions/images/red/nappies
rubber hot water bottles,50.0,37,False,geelong-recycling-instructions/images/red/rubber hot water bottles
rubber foam,50.0,50,True,geelong-recycling-instructions/images/red/rubber foam
handbags,50.0,47,False,geelong-recycling-instructions/images/red/handbags
fridge magnets,50.0,45,False,geelong-recycling-instructions/images/red/fridge magnets
dog poo,50.0,30,False,geelong-recycling-instructions/images/red/dog poo
disposal cigarette lighters,50.0,36,False,geelong-recycling-instructions/images/red/disposal cigarette lighters
